,Title,Body,Title + Body,Actual,Predicted Cat
673,Burial Plots -Valhalla Memory Gardens,"2 Cemetery Plots in Last Supper (Section 56C, Plots 1 and 2)$3,900 for both plots.Seller will pay the transfer fee.Current Valhalla retail price is $5,790 for both.","burial plot -valhalla memori gardens2 cemeteri plot last supper (section 56c, plot 1 2)$3,900 plots.sel pay transfer fee.curr valhalla retail price $5,790 both.",Others,Others
674,baby rabbits,Baby rabbits,babi rabbitsbabi rabbit,Others,Others
675,Extra Large Pallets (80x42),Heavy Duty Pallets $7 each There are 12 of them.  Cash pick up only.    ,extra larg pallet (80x42)heavi duti pallet $7 12 them. cash pick only.,Others,Others
676,FOR SALE: JACK DANIEL BARRELS,"FOR SALE:                   3 JACK DANIEL BARRELS #1,VERY NICE BARRELS,                   HAVE COATED THEM WITH POLYURETHENE TO MAKE                   THEM SHINE,THEY ARE GOOD TIGHT BARRELS,MY                    LAST 3 FOR THE YEAR,THEY WILL MAKE GOOD CHRISTMAS                    GIFTS,MARKED DOWN TO $160.00 EACH,FROM $250.00,THEY                    HAVE JACK DANIEL STAMPED ON THE TOP. CALL  show contact info                    NO TEXT OR E-MAILS","sale: jack daniel barrelsfor sale: 3 jack daniel barrel #1,veri nice barrels, coat polyurethen make shine,they good tight barrels,mi last 3 year,they make good christma gifts,mark $160.00 each,from $250.00,they jack daniel stamp top. call show contact info text e-mail",Others,Others
677,Kitchen table,Round kitchen table and 4 chairs approx48 in has bad spots on top $300,kitchen tableround kitchen tabl 4 chair approx48 bad spot top $300,Others,Others
678,Howard Miller grandfather clock,Howard Miller grand father clock Nottingham model  show contact info,howard miller grandfath clockhoward miller grand father clock nottingham model show contact info,Others,Others
679,online garage sale,"Budweiser mini fridge $125, Werner ladder $75, electric chain saw $20, used Harley parts ?, Skil miter saw $25","onlin garag salebudweis mini fridg $125, werner ladder $75, electr chain saw $20, use harley part ?, skil miter saw $25",Others,Others
681,Metal Red Bull Store Display Sign,Metal Red Bull Store Display SignDouble Sided10 X 10,metal red bull store display signmet red bull store display signdoubl sided10 x 10,Others,Others
682,Harley Davidson Heavy Duty Sweatshirt,95th Anniversary heavy duty Harley Davidson Sweatshirt. Size is X-L but I wear 2 XL and it fits good. I would call this excellent condition especially for being nearly 25 years old. Was purchased at Black Hills Harley Davidson in Rapid City South Dakota in 1998. Harley Davidson is embroidered on the front and silkscreen is still in perfect condition. $25 cash only please.,harley davidson heavi duti sweatshirt95th anniversari heavi duti harley davidson sweatshirt. size x-l wear 2 xl fit good. would call excel condit especi nearli 25 year old. purchas black hill harley davidson rapid citi south dakota 1998. harley davidson embroid front silkscreen still perfect condition. $25 cash please.,Others,Others
684,Petsafe wireless collar #310,New collar for a petsafe wireless fence brand new,petsaf wireless collar #310new collar petsaf wireless fenc brand new,Others,Others
685,Celestron 130mm MAK Telescope  AS IS or for parts,"Celestron 130mm Mak Telescope, AS IS, or for parts. The telescope fell and there is a large chip on the front corrector glass( see the more recent pics). I re tested afterward on the moon at  80X and the chip seems to have little affect on the images. So it can still be used as is, or for parts for another scope.Update: The chip measures apx 20mm inward from the edge, so the buyer could  make a 110mm aperture mask out of the present objective cover, which would then preform very well as a 110mm telescope, at high F/ratio.(F/18)The tripod and mount in pics are not included.. Scope has vixen/celestron  style dovetail bar so can be used on many different mounts. If Buyer wants the 9x50 finder( as seen in pics) then add $40 to the $190 price.Telescope mirror/corrector is 130 mm in diameter, focal Length is 2000 mm, F/15Comes with25mm eyepiece (80X).. Telescope has a unique design that lets user flip between the 90 degree top diagonal or the rear 45 degree one. User can have 2 eyepieces mounted at once. Still seems to work good even with the chipped glass.Call me at 931-292-zero five six four for a demonstration.See all my astro and optical ads on CL.","celestron 130mm mak telescop partscelestron 130mm mak telescope, is, parts. telescop fell larg chip front corrector glass( see recent pics). test afterward moon 80x chip seem littl affect images. still use is, part anoth scope.update: chip measur apx 20mm inward edge, buyer could make 110mm apertur mask present object cover, would preform well 110mm telescope, high f/ratio.(f/18)th tripod mount pic included.. scope vixen/celestron style dovetail bar use mani differ mounts. buyer want 9x50 finder( seen pics) add $40 $190 price.telescop mirror/corrector 130 mm diameter, focal length 2000 mm, f/15come with25mm eyepiec (80x).. telescop uniqu design let user flip 90 degre top diagon rear 45 degre one. user 2 eyepiec mount once. still seem work good even chip glass.cal 931-292-zero five six four demonstration.se astro optic ad cl.",Others,Others
686,Vintage Korean wind up Clock.. Nice chimes!,"Good Looking Vintage mechanical Clock from Korea.Shelf clock, apx 24"" tallWorks intermittently ... has very nice chimes. Probably just needs cleaned and oiled.See all my other clock ads on CL!931-two none two zero five six four","vintag korean wind clock.. nice chimes!good look vintag mechan clock korea.shelf clock, apx 24"" tallwork intermitt ... nice chimes. probabl need clean oiled.se clock ad cl!931-two none two zero five six four",Others,Others
687,Vintage Rubicon(pre Honeywell) Lab Potentiometer,Last chance on this great item... maybe relocating/moving soon...Vintage Rubicon Instruments (Honeywell) Wood Case Potentiometer. This is before Rubicon became Honeywell. Looks to be in very good condition.Very precise scientific/laboratory instrument... used in a lot of physics and chemistry labs.I can supply a copy of the instructions also.Missing the 3V drycell battery that used to come with these.See all my Science and optical ads on CL... Call me at 931-292-zero five six four,vintag rubicon(pr honeywell) lab potentiometerlast chanc great item... mayb relocating/mov soon...vintag rubicon instrument (honeywell) wood case potentiometer. rubicon becam honeywell. look good condition.veri precis scientific/laboratori instrument... use lot physic chemistri labs.i suppli copi instruct also.miss 3v drycel batteri use come these.se scienc optic ad cl... call 931-292-zero five six four,Others,Others
688,"Samsung 15"" PC Monitor, Works Great!","Samsung 730b 15"" monitor, works great..Great to use as a 2nd PC screen on your desk/counter for your current PC, tablet of phone. Also you can have two separate ""windows"" open on each! Great as a live monitor for a  network camera too.Has been tested and guaranteed to work great...See all my ads on CL... click on ""see more ads by user"" Link.    ","samsung 15"" pc monitor, work great!samsung 730b 15"" monitor, work great..great use 2nd pc screen desk/count current pc, tablet phone. also two separ ""windows"" open each! great live monitor network camera too.ha test guarante work great...se ad cl... click ""see ad user"" link.",Others,Others
689,"Cordless Weed Trimmer, other tools also available..","Tired of hard to start weed trimmers? This is much better,CRAFTSMAN Cordless Electric weed trimmer, 19.2 V, 12"" cut, auto feed line. Works great.New 19,2 V... 5 amp hour Lithium Battery... lasts a long time and plenty of power! Most electric trimmers only come with  2  or 3 amp hr batteries when new.. this is a much better battery.Also available for extra $35 each, is a 19,2 V  Craftsman Circular saw,   or 3/8 drill. Or buy everything for $140 total! ( Weed trimmer, saw, drill , charger and two batteries)Complete with battery charger for lithium and non lithium battery. Very Good ConditionContact me  for a demonstration.See all my ads on CL.","cordless weed trimmer, tool also available..tir hard start weed trimmers? much better,craftsman cordless electr weed trimmer, 19.2 v, 12"" cut, auto feed line. work great.new 19,2 v... 5 amp hour lithium battery... last long time plenti power! electr trimmer come 2 3 amp hr batteri new.. much better battery.also avail extra $35 each, 19,2 v craftsman circular saw, 3/8 drill. buy everyth $140 total! ( weed trimmer, saw, drill , charger two batteries)complet batteri charger lithium non lithium battery. good conditioncontact demonstration.se ad cl.",Others,Others
690,"AO Spencer Microscope..40X, 100X and 450X.. Nice!","Freshly Reconditioned American Optical Spencer model Sixty Compound microscope. All metal heavy duty Construction.. Made in USA. Former University Microscope.Options  include abbe style condenser with diaphragm , 3 Objective turret, and light.Comes with 3 Objectives..,  4X, 10X and 43X ...yielding magnifications of   40X, 100X ,430X, with the 10X eyepieces.Optics Clear and sharp.. no chips, scratches, fungus or haze, ... Works excellent!Many uses for these high resolution microscopes... also Many Pet owners, and farmers now using these to do their inspections of their pets fecal samples. ( saves on vet visits)This microscope is also great for doing quick, easy micro-photography. Low cost 23 mm adapters available online to adapt most cameras or CCD's to the eyepiece tube.This unit is not your typical used microscope presently sold online that is only described as ""Good used, or tested"" that usually have stiff motions ,dirty, scratched ,cloudy optics, or worse... double vision.... this is a fully refurbished microscope that has been thoroughly disassembled,inspected,repaired , cleaned optically and mechanically,( all vintage microscopes need a through internal cleaning to preform like new again) Also collimated, lubricated ,reassembled and tested by an experienced technician who has overhauled and sold more than 350 units to date.Many uses for these high resolution microscopes... also Many Pet owners, and farmers now using these to do their inspections of their pets fecal samples. ( saves on vet visits)See all my science ,medical and optical items also on CL!","ao spencer microscope..40x, 100x 450x.. nice!freshli recondit american optic spencer model sixti compound microscope. metal heavi duti construction.. made usa. former univers microscope.opt includ abb style condens diaphragm , 3 object turret, light.com 3 objectives.., 4x, 10x 43x ...yield magnif 40x, 100x ,430x, 10x eyepieces.opt clear sharp.. chips, scratches, fungu haze, ... work excellent!mani use high resolut microscopes... also mani pet owners, farmer use inspect pet fecal samples. ( save vet visits)thi microscop also great quick, easi micro-photography. low cost 23 mm adapt avail onlin adapt camera ccd' eyepiec tube.thi unit typic use microscop present sold onlin describ ""good used, tested"" usual stiff motion ,dirty, scratch ,cloudi optics, worse... doubl vision.... fulli refurbish microscop thoroughli disassembled,inspected,repair , clean optic mechanically,( vintag microscop need intern clean preform like new again) also collimated, lubric ,reassembl test experienc technician overhaul sold 350 unit date.mani use high resolut microscopes... also mani pet owners, farmer use inspect pet fecal samples. ( save vet visits)se scienc ,medic optic item also cl!",Others,Others
691,Stainless Steel Double Sink w Faucets,"Stainless Steel Double Sink w FaucetsGood from remodeling project.Gently used,  with Moen faucets / sprayer.Mounting Clips included.Cash, local meet up.We will remove this listing when item is sold.Telephone and leave message : Two 5 Six - 5 seven  4 - THREE 8 THREE 4Scammers we know your tricks. We respond to craigslist emails only.","stainless steel doubl sink w faucetsstainless steel doubl sink w faucetsgood remodel project.g used, moen faucet / sprayer.mount clip included.cash, local meet up.w remov list item sold.telephon leav messag : two 5 six - 5 seven 4 - three 8 three 4scammer know tricks. respond craigslist email only.",Others,Others
692,White oval porcelain sink/faucet,"White oval porcelain sink with faucet installed, stopper works, sink was working when removed from cabinet.Great for remodel project.Local meet up, cash only.Scammers we know how you operate. We reply to craigslist email.OR telephone us at : two 5 six - 5 7 four - 3 eight 3 four and leave us a message with your phone number. We will remove this listing when item is sold.","white oval porcelain sink/faucetwhit oval porcelain sink faucet installed, stopper works, sink work remov cabinet.great remodel project.loc meet up, cash only.scamm know operate. repli craigslist email.or telephon us : two 5 six - 5 7 four - 3 eight 3 four leav us messag phone number. remov list item sold.",Others,Others
693,14 inch wheel,"For Sale is a 14 inch wheel. 4.5 hole pattern. Pickup in Arab Alabama only. Email, text or call Mark in Arab","14 inch wheelfor sale 14 inch wheel. 4.5 hole pattern. pickup arab alabama only. email, text call mark arab",Others,Others
694,Brew kit complete with carboy,"Everything you need to brew beer with! Complete with bottler tool and hydrometer.Brew handbook and instructions, recipe book, 5 gallon fermenting bucket, 5 gallon glass carboy fermenter, fermentation thermometer, small buon vino stopper, hydrometer, bottling spigot, capper tool, bottle brush, c-brite sanitizerSome lids and I even have bottles (you can use Grolsch bottles or Corona bottles)Make me an offer!Merry Christmas!    ","brew kit complet carboyeveryth need brew beer with! complet bottler tool hydrometer.brew handbook instructions, recip book, 5 gallon ferment bucket, 5 gallon glass carboy fermenter, ferment thermometer, small buon vino stopper, hydrometer, bottl spigot, capper tool, bottl brush, c-brite sanitizersom lid even bottl (you use grolsch bottl corona bottles)mak offer!merri christmas!",Others,Others
695,(3) Industrial style large lighting fixtures,"(3) Bright large industrial parking lot Style lighting fixtures 1000 Watts high pressure sodium, metal halide Extra ballast and extra bulbs all 110 volts that can just plug into any socket ready to go.Photocell type street lamp on mounting poleAll lighting fixtures function as they should great for shop, garage, yard, driveway area, basketball goal etc etcThese large fixtures are hundreds of dollars each in the retail commercial world","(3) industri style larg light fixtures(3) bright larg industri park lot style light fixtur 1000 watt high pressur sodium, metal halid extra ballast extra bulb 110 volt plug socket readi go.photocel type street lamp mount poleal light fixtur function great shop, garage, yard, driveway area, basketbal goal etc etcthes larg fixtur hundr dollar retail commerci world",Others,Others
696,odd-shaped desk or work bench,"as picturedwell made, heavy, thick laminate topsteel constructionwith adjustable feetsasquatch    ","odd-shap desk work bencha picturedwel made, heavy, thick lamin topsteel constructionwith adjust feetsasquatch",Others,Others
697,Limbo sticks,"4 Plastic Limbo sticks, look like candy canes, ideal for childrens parties","limbo sticks4 plastic limbo sticks, look like candi canes, ideal children parti",Others,Others
698,Siberian husky/ pitbull mix,Asking for a rehoming fee of $50,siberian husky/ pitbul mixask rehom fee $50,Others,Others
699,REDUCED Land for lease on Schillinger Road N.,Approx. 1 acre. Schillinger Road N. Excellent boat and RV storage potential. $800/mo. Call Billy.,reduc land leas schilling road n.approx. 1 acre. schilling road n. excel boat rv storag potential. $800/mo. call billy.,Others,Others
700,"TWO TRIPODS 60""","PRICE LOWERED---1 BLACK MX 2000 TRIPOD WITH 2 LEVELING GAUGES---ONE ALUMINUM TRIPOD---USE FOR CAMERAS, TELESCOPES, MICROPHONES, PHOTOGRAPHIC LIGHTING ETC.---PICK UP IN THEODORE ALABAMA--SALE $10.00","two tripod 60""price lowered---1 black mx 2000 tripod 2 level gauges---on aluminum tripod---us cameras, telescopes, microphones, photograph light etc.---pick theodor alabama--sal $10.00",Others,Others
701,Used propane gas tanks.,Used propane tanks.  $25.00 each.  Call  show contact info.  No texts please.    ,use propan ga tanks.us propan tanks. $25.00 each. call show contact info. text please.,Others,Others
702,Miata Spare Tire/Wheel (Donut)`,Price lowered--Off my 1994 Mazda Miata---NEVER USED spare donut tire/wheel---will fit ANY vehicle with 4 inch 4 bolt hubs--like new---INFO on tire (BRIDGESTONE K9004  T115/70D14 88M TACOMPA - 3)--metal wheel is approx. 15.25 inches wide (tall)---Tire is approx. 19.5 inches tall---Tubeless tire---This is ALL the info I can provide--pick up in Theodore Alabama (will NOT ship)---SALE $40.00,miata spare tire/wheel (donut)`pric lowered--off 1994 mazda miata---nev use spare donut tire/wheel---wil fit vehicl 4 inch 4 bolt hubs--lik new---info tire (bridgeston k9004 t115/70d14 88m tacompa - 3)--metal wheel approx. 15.25 inch wide (tall)---tir approx. 19.5 inch tall---tubeless tire---thi info provide--pick theodor alabama (will ship)---sal $40.00,Others,Others
703,Authentic Pizza Oven,"Authentic Pizza Ovens are the perfect backyard family pizza oven! The versatility of our ovens is endless, doubling as a firepit for you to gather around during the cool Fall season while creating beautiful dishes from turkey and ham to veggies and desserts. You can make your holidays special by hosting your family and friends Thanksgiving dinner, or even surprise a loved one for Christmas with the best gift under the tree! Whatever you decide, our ovens are sure to create everlasting memories for many years to come!Our ovens are HANDMADE in Portugal by artisans that have been doing their craft for decades and are among the finest wood-fired ovens around.We offer both traditional and modern/portable style wood-fired pizza ovens.Our traditional ovens are AUTHENTIC and made with fire brick, refractory cement, and our International patented Rockwool insulation! Our ovens are NOT kits but the real deal. Our ovens make the best, most authentic woodfired pizzas!Our modern ovens are lightweight and portable. They come in two sizes and are ideal for the busy family as they heat up in less than 30 min.Our larger size modern/portable ovens are PERFECT for food trucks or catering businesses. We have many happy food truck customers.Authentic Pizza Ovens aren't just for pizzas! You can cook anything that you do in your conventional oven ranging from pizzas, roasting chicken and other meats, seafood, fire-roasted veggies, the best fresh bread, and desserts!Authentic Pizza Ovens are memory makers and make family and friends' time something to remember!Our pizza oven prices range from $1750-$3895. We also offer all the pizza oven accessories you need to be an instant Pizzaioli! Including firewood!We ship daily nationwide from Houston, TX, and shipping is free to commercial addresses or $95 to residential.Happy to chat about what might be the best option for you. Reply for questions or check out www.authenticpizzaovens.comOur ovens are an investment that you’ll use for years and years to come. If you’re moving or selling your house… it will only add value!!","authent pizza ovenauthent pizza oven perfect backyard famili pizza oven! versatil oven endless, doubl firepit gather around cool fall season creat beauti dish turkey ham veggi desserts. make holiday special host famili friend thanksgiv dinner, even surpris love one christma best gift tree! whatev decide, oven sure creat everlast memori mani year come!our oven handmad portug artisan craft decad among finest wood-fir oven around.w offer tradit modern/port style wood-fir pizza ovens.our tradit oven authent made fire brick, refractori cement, intern patent rockwool insulation! oven kit real deal. oven make best, authent woodfir pizzas!our modern oven lightweight portable. come two size ideal busi famili heat less 30 min.our larger size modern/port oven perfect food truck cater businesses. mani happi food truck customers.authent pizza oven pizzas! cook anyth convent oven rang pizzas, roast chicken meats, seafood, fire-roast veggies, best fresh bread, desserts!authent pizza oven memori maker make famili friends' time someth remember!our pizza oven price rang $1750-$3895. also offer pizza oven accessori need instant pizzaioli! includ firewood!w ship daili nationwid houston, tx, ship free commerci address $95 residential.happi chat might best option you. repli question check www.authenticpizzaovens.comour oven invest you’ll use year year come. you’r move sell house… add value!!",Others,Others
704,Pug Puppy male,Black Male Pug Puppy 6 weeks old now Deposit will hold him till ready The rest of litter is reservedReady by next week show contact infoCKC vet checked shots,pug puppi maleblack male pug puppi 6 week old deposit hold till readi rest litter reservedreadi next week show contact infockc vet check shot,Others,Others
705,pool table with cues,"bar room style pool table with cues and rack , close to 1000.00 in cues alone quick sale daughter needs to come back home so clearing room , bring help its heavy","pool tabl cuesbar room style pool tabl cue rack , close 1000.00 cue alon quick sale daughter need come back home clear room , bring help heavi",Others,Others
706,Pug Puppy Male,Black male Pug Puppy 6 weeks old now Deposit will hold him till ready The rest of litter is reservedReady by next week show contact infoCKC vet checked shots,pug puppi maleblack male pug puppi 6 week old deposit hold till readi rest litter reservedreadi next week show contact infockc vet check shot,Others,Others
707,Dining Room Table & Chairs,Nice wood dining table and chairs. Asking $250 obo.In great shape. Has a center leaf that can make table bigger.,dine room tabl & chairsnic wood dine tabl chairs. ask $250 obo.in great shape. center leaf make tabl bigger.,Others,Others
708,Glass top coffee table,Nice coffee table with glass top. All wood. Has drawers and Slide out leafs.    ,glass top coffe tablenic coffe tabl glass top. wood. drawer slide leafs.,Others,Others
709,Serving buffet table,"Very, very nice piece of furniture.","serv buffet tablevery, nice piec furniture.",Others,Others
710,Mattress / Queen size,Nice mattress. Pillow top padded. No stains. Firm style.,mattress / queen sizenic mattress. pillow top padded. stains. firm style.,Others,Others
711,Storage Auctions in Saraland,"This auction takes place online at https://bid13.com/facilities/climate-masters-self-storage/425-hwy-43s 1 Unit For Auction in Saraland, AlabamaPickup Location: Climate Masters Self Storage, 425 hwy 43s, Saraland, AL, 36571 Units for auction: Unit 1128Contents: Home, Decor, FULL, FurnitureSearch Keywords: storagewars, self-stroage, auktoin, aktion, akshon, ministorage, hunters, bidding, auctshion, ocshon, lockers, auktion, sale, public, locker, aukton, action, container, sheds, auctshon, for, ocshun, active, aucshion, party, aktoin, awkshon, ocshin, units, octshun, auction, abandoned, bin, unit, stroage, ontario, awktion, akton, bins, aucton, actoin, until, shed, aucshon, mini-storage, mini, auctive, abandonded, aucshin, self, items, lien, awkshin, oction, aucktshin, containers, site, self-storage, online, unite, awkshun, upcomming, bid, auctioin, autuon, auctions, auctshin, auctshun, octsion, storage, acton    ","storag auction saralandthi auction take place onlin https://bid13.com/facilities/climate-masters-self-storage/425-hwy-43 1 unit auction saraland, alabamapickup location: climat master self storage, 425 hwi 43s, saraland, al, 36571 unit auction: unit 1128contents: home, decor, full, furnituresearch keywords: storagewars, self-stroage, auktoin, aktion, akshon, ministorage, hunters, bidding, auctshion, ocshon, lockers, auktion, sale, public, locker, aukton, action, container, sheds, auctshon, for, ocshun, active, aucshion, party, aktoin, awkshon, ocshin, units, octshun, auction, abandoned, bin, unit, stroage, ontario, awktion, akton, bins, aucton, actoin, until, shed, aucshon, mini-storage, mini, auctive, abandonded, aucshin, self, items, lien, awkshin, oction, aucktshin, containers, site, self-storage, online, unite, awkshun, upcomming, bid, auctioin, autuon, auctions, auctshin, auctshun, octsion, storage, acton",Others,Others
712,"stanchions, with ropes and sign frames","as picturedfour stanchions, three ropesfour signs with framesexcellent condition except for stanchion bases, could use paintingall or none$50 for allsasquatch","stanchions, rope sign framesa picturedfour stanchions, three ropesfour sign framesexcel condit except stanchion bases, could use paintingal none$50 allsasquatch",Others,Others
714,oak display rack,"as pictured4 foot tall, 31 inches wideholds 8 1/2 x 11 sheetsgood condition, well madesolid oak rails, plywood sides, no particle boardplastic insert can be removedsasquatch","oak display racka pictured4 foot tall, 31 inch widehold 8 1/2 x 11 sheetsgood condition, well madesolid oak rails, plywood sides, particl boardplast insert removedsasquatch",Others,Others
715,"shark tooth sifter, necklace",as picturedused to troll through the sandshark tooth necklace includedgood conditionsasquatch,"shark tooth sifter, necklacea picturedus troll sandshark tooth necklac includedgood conditionsasquatch",Others,Others
716,steel basket,Heavy duty steel construction basket,steel basketheavi duti steel construct basket,Others,Others
717,great Pyrenees pup,Need new home Text2five182nine5six38 for more information,great pyrene pupne new home text2five182nine5six38 inform,Others,Others
718,2 ride mowers,"2 ride mowers bundle deal. The grey mower runs and cuts like a champ once the steering arm is installed which I have on hand. The red mower has a bad motor but can use to transfer parts to the grey mower.  Both have new batteries and blades, in good shape. Making room in garage, need these gone.","2 ride mowers2 ride mower bundl deal. grey mower run cut like champ steer arm instal hand. red mower bad motor use transfer part grey mower. new batteri blades, good shape. make room garage, need gone.",Others,Others
719,1 H.P WATER JET PUMP FOR ANY WATER FEATURE,Brand new in box! Cost $450.00 + tax newNow $150.00Will install if necessary for a small fee.Comes with full warranty    ,1 h.p water jet pump water featurebrand new box! cost $450.00 + tax newnow $150.00will instal necessari small fee.com full warranti,Others,Others
720,SANITAIRE COMMERCIAL VACUUM CLEANER,"WORKS PERFECT, USED LESS THAN 5 TIMES!!$160.00 NEWNOW $ 60.00MADE BY BISSELL , YOU WILL BE HAPPY WITH THIS VACUUM    ","sanitair commerci vacuum cleanerwork perfect, use less 5 times!!$160.00 newnow $ 60.00made bissel , happi vacuum",Others,Others
721,PRO AUDIO FRONT FILL MONITORS,"AD SYSTEMS Magnus15 MA-15 SPEAKERSThe Magnus15 is a bi-functional premium class loudspeaker system incorporating a 15″ neodymium low-mid transducer and a 1.4″ exit neodymium high frequency driver. Its high frequency horn has been designed using latest BEM (boundary element method) techniques and has an extremely homogeneous directivity pattern of 75° x 50°. It is rotatable by 90° to get a 50° x 75° pattern.Birch plywood with Polyurea coating, 55° wedge angleAD-Systems loudspeakers are rated protection class IP-54Basic layout2-Way passive, bass reflex tuningProtective Grille2.0 mm sheet steel, hex-stamped, black acoustic foam on insideComponents15″ Neodym low mid woofer with 3.5″ voice coil1.4″ Neodym compression driver with 2.5″ voice coilon 75° x 50° BEM CD-HornPassive Crossover with PPCN technologyFrequency Response55 Hz–18 kHz +/-3 dBPower handling RMS | peak600 Watts RMS | 2,000 Watts PeakNominal Impedance6 ΩDispersion pattern75° x 50° constant coverageSensitivity100 dB Lo-Mids, 109 dB HighSPLmax134 dB | peak | 1 mConnectors4 Neutrik Speakon NL4: 1+/1-, x 3Dimensions (w x h x d)43 x 70 x 37 mmRATED AT 134 db at 2000 watts 15 inch driverprce is 350 each i have 4 available pickup in hurley cash only","pro audio front fill monitorsad system magnus15 ma-15 speakersth magnus15 bi-funct premium class loudspeak system incorpor 15″ neodymium low-mid transduc 1.4″ exit neodymium high frequenc driver. high frequenc horn design use latest bem (boundari element method) techniqu extrem homogen direct pattern 75° x 50°. rotat 90° get 50° x 75° pattern.birch plywood polyurea coating, 55° wedg anglead-system loudspeak rate protect class ip-54bas layout2-way passive, bass reflex tuningprotect grille2.0 mm sheet steel, hex-stamped, black acoust foam insidecomponents15″ neodym low mid woofer 3.5″ voic coil1.4″ neodym compress driver 2.5″ voic coilon 75° x 50° bem cd-hornpass crossov ppcn technologyfrequ response55 hz–18 khz +/-3 dbpower handl rm | peak600 watt rm | 2,000 watt peaknomin impedance6 ωdispers pattern75° x 50° constant coveragesensitivity100 db lo-mids, 109 db highsplmax134 db | peak | 1 mconnectors4 neutrik speakon nl4: 1+/1-, x 3dimens (w x h x d)43 x 70 x 37 mmrate 134 db 2000 watt 15 inch driverprc 350 4 avail pickup hurley cash",Others,Others
722,Pool Vacuum— needs motor,"Hayward Tiger Shark robotic pool vacuum— needs a new motor, but the control unit works and the vacuum is in good shape/ well maintained (a new motor is around $4-500; a new Tiger Shark is ~$1,200). An authorized repair center can order & install, or DIY if so inclined.","pool vacuum— need motorhayward tiger shark robot pool vacuum— need new motor, control unit work vacuum good shape/ well maintain (a new motor around $4-500; new tiger shark ~$1,200). author repair center order & install, diy inclined.",Others,Others
723,BULLYS,I just want good homes for the ones I am not keeping.  If you pass re homing inspection price is negotiable.  INAM VERY SERIOUS ABOUT MY ANIMALS!(POPS is a registered American Bully standard),bullysi want good home one keeping. pass home inspect price negotiable. inam seriou animals!(pop regist american bulli standard),Others,Others
724,Bull-pei pups,"Blue and lilac bull-pei pups! 2 blue males,1 tri female,3 lilac females","bull-pei pupsblu lilac bull-pei pups! 2 blue males,1 tri female,3 lilac femal",Others,Others
725,Ladie's and Men's Shoe's,"Ladie's A New Day dress shoe's size 8/ D&G Sneaker's size 8 10.00/Addias 19.4 Soccer cleat's size 12 15.00 (new), Brama Boots size 11 wide 15.00/ Men's dress shoe's Cole Haan(tan) with Nike Air Sole size 13m 35.00/ NUNNDUSH KOR= has Gel Sole size 13m 25.00/Johnson&Murphy soft leather 12m J&M flex sole 25.00.2 tree's both or factory lighted, with stand's, 1 7-footer and 1 3-footer, all you have to do is plug up and enjoy. 50 for 7-footer and 35 for 3-footer or 70.00 for both.Grain bins for saleWe have inventory of disassembled grain bin shells (roof and rings only)I have 15’s for $300018’s for $385024’s for $580027’s are $780030’s are $10kAnd 36’s are $14kThese shells are repurposed into grain bin gazebos, outdoor kitchens and tiny homes. Pick up is in Utica Kentucky and we ship all over the USFor a shipping quote please send your ZIP Code.    ","ladie' men' shoe'sladie' new day dress shoe' size 8/ d&g sneaker' size 8 10.00/addia 19.4 soccer cleat' size 12 15.00 (new), brama boot size 11 wide 15.00/ men' dress shoe' cole haan(tan) nike air sole size 13m 35.00/ nunndush kor= gel sole size 13m 25.00/johnson&murphi soft leather 12m j&m flex sole 25.00.2 tree' factori lighted, stand's, 1 7-footer 1 3-footer, plug enjoy. 50 7-footer 35 3-footer 70.00 both.grain bin salew inventori disassembl grain bin shell (roof ring only)i 15’ $300018’ $385024’ $580027’ $780030’ $10kand 36’ $14kthese shell repurpos grain bin gazebos, outdoor kitchen tini homes. pick utica kentucki ship usfor ship quot pleas send zip code.",Others,Others
726,Apple Watch,Contact Pete  show contact info I have a Apple Watch for sale,appl watchcontact pete show contact info appl watch sale,Others,Others
727,Small engine repair,We sell and repair on all kinds of small engines.,small engin repairw sell repair kind small engines.,Others,Others
728,motorcycle camping trailer,Motorcycle camping trailer  good shape big tent and storage call  show contact info Tim asking 1.500Call only will not answer text no code now 1.200    ,motorcycl camp trailermotorcycl camp trailer good shape big tent storag call show contact info tim ask 1.500call answer text code 1.200,Others,Others
729,Cemetery lots,"I have 4  adjoining lots at Mobile Memorial Gardens  Cemetery. The lots are located in section H - The Garden Sermon On The Mount . Valued at over $10,000 asking $8000.00 and I will pay all fees. Any more information call or text me at  show contact info","cemeteri lotsi 4 adjoin lot mobil memori garden cemetery. lot locat section h - garden sermon mount . valu $10,000 ask $8000.00 pay fees. inform call text show contact info",Others,Others
730,English bulldog puppies,Please call for details or text,english bulldog puppiespleas call detail text,Others,Others
